Name,Star,Stars_count,Price,Area,Category,Services,Searched City
Chawla Indian Cuisine,4,56,n/a,,"['Indian', 'Bars']","['$55 for $65 Deal', 'Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Carillon Kitchen,3.5,54,$$,,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Paseo,4.5,5215,$$,Fremont,"['Caribbean', 'Cuban', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Tropea Ristorante Italiano,4,341,$$,,"['Italian', 'Pizza']",['Takeout'],Bellevue
Homer,4.5,184,n/a,Beacon Hill,"['Mediterranean', 'Middle Eastern']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Tapas Lab,4.5,186,$$,Greenlake,"['Tapas/Small Plates', 'Spanish', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Chengdu Taste 滋味成都,4,64,n/a,Chinatown,['Szechuan'],['Takeout'],Bellevue
Cantinetta Bellevue,3.5,308,$$,,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Southern Taiwan,3.5,5,n/a,,"['Taiwanese', 'Food Trucks']",[],Bellevue
Montalcino Ristorante Italiano,4.5,497,$$$,,"['Italian', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Buddha Bruddah,4,257,$$,Beacon Hill,"['Asian Fusion', 'Thai', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Birrieria Tijuana,4.5,313,n/a,,['Mexican'],"['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Kobe Restaurant,3.5,361,$$,,"['Korean', 'Sushi Bars', 'Asian Fusion']","['Delivery', 'Takeout']",Bellevue
Toulouse Petit Kitchen & Lounge,4,4256,$$,Lower Queen Anne,"['Breakfast & Brunch', 'American (New)', 'Seafood']","['Delivery', 'Takeout']",Bellevue
Homer,4.5,184,n/a,Beacon Hill,"['Mediterranean', 'Middle Eastern']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Vinason Pho Kitchen,4.5,44,$$,,"['Vietnamese', 'Macarons', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Haidilao Hot Pot,4.5,169,$$$,Downtown,"['Hot Pot', 'Szechuan']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Bellevue
19 GOLD,4.5,533,$$,Fremont,"['Taiwanese', 'Chinese', 'Bubble Tea']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Tapas Lab,4.5,186,$$,Greenlake,"['Tapas/Small Plates', 'Spanish', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
G.H. Pasta Co.,4.5,241,$$,Denny Triangle,"['Italian', 'Pasta Shops']","['Delivery', 'Takeout']",Bellevue
Baegopa,4,76,n/a,Chinatown,"['Korean', 'Barbeque']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Shanghai House - MOVED,3,160,$$,,"['Korean', 'Shanghainese', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Sushi Joa,4,175,$$,,"['Sushi Bars', 'Japanese', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Ramen Danbo,4.5,1358,$$,Capitol Hill,"['Ramen', 'Noodles']","['Live wait time: 1 - 10 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Famous Kitchen,4,74,$$,,"['Barbeque', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Rolls and Rolls Plus Sushi,4,213,$$,,"['Sushi Bars', 'Japanese']",['Takeout'],Bellevue
Pasta Casalinga,4.5,208,$$,Downtown,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Cascina Spinasse,4.5,1106,$$$,Capitol Hill,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
The Brick Kitchen + Lounge,4.5,98,$$,,"['Beer Bar', 'Lounges', 'American (Traditional)']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Just Like Home Jamaican Kitchen,5,1,n/a,Rainier Beach,['Caribbean'],"['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
How to Cook a Wolf,4,38,n/a,Madison Park,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Ciudad,4.5,338,$$,Georgetown,['Tapas/Small Plates'],"['Outdoor dining', 'Takeout']",Bellevue
Joy Box,4,103,$$,,"['Korean', 'Japanese', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Drunken Chicken,4,30,n/a,Wallingford,"['Comfort Food', 'Chicken Shop', 'Hainan']","['Outdoor dining', 'Delivery', 'Takeout']",Bellevue
Frying Fish,3.5,231,$$,,"['Szechuan', 'Seafood']","['Delivery', 'Takeout']",Bellevue
Aces Cafe - Alano Club Of The Eastside,4,29,$$,,"['American (New)', 'Breakfast & Brunch']",[],Bellevue
Due’ Cucina Italiana - Totem Lake,4.5,101,$$,,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Box & Burgers Eatery,4.5,344,$$,,"['Asian Fusion', 'Burgers', 'Hawaiian']","['Outdoor dining', 'Takeout']",Kirkland
Bok a Bok Fried Chicken,3,17,n/a,,['Chicken Shop'],[],Kirkland
DERU Market,4.5,1416,$$,,"['Pizza', 'American (New)', 'Breakfast & Brunch']","['Delivery', 'Takeout']",Kirkland
Bungalow at Juanita Beach,4,141,$$,,"['Bars', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Cactus Restaurants,4,954,$$,,"['Tex-Mex', 'Mexican', 'New Mexican Cuisine']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Feast,4,84,$$,,"['French', 'Brasseries', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Fan Tang Asian Cafe,4.5,49,$$,,"['Chinese', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Como,3.5,191,$$,,"['Italian', 'Pizza', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Stack 571 Burger and Whiskey Bar - Kirkland,3.5,17,$$,,"['American (New)', 'Burgers', 'Whiskey Bars']",['Outdoor dining'],Kirkland
Silverlake Ramen,4,112,$$,,['Ramen'],"['Delivery', 'Takeout']",Kirkland
Vovina,4,153,$$,,"['Wine Bars', 'Tapas/Small Plates', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Bottle & Bull,4,368,$$$,,"['Bars', 'Spanish', 'French']","['Delivery', 'Takeout']",Kirkland
BeachHouse bar + grill,3.5,670,$$,,"['American (New)', 'Seafood', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Woodin Creek Kitchen & Tap,4,62,$$,,"['American (New)', 'Beer Bar']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Deja Moo,4,42,n/a,,['Burgers'],"['Live wait time: 0 mins', 'Outdoor dining', 'Delivery']",Kirkland
Barking Frog,4,971,$$$,,"['American (New)', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Third Place,4.5,184,$$,,"['Korean', 'Barbeque', 'Chicken Shop']",['Takeout'],Kirkland
Isarn Thai Soul Kitchen,4,1026,$$,,"['Thai', 'Cocktail Bars', 'Noodles']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Lynn’s Bistro,4.5,258,$$$,,"['French', 'American (New)']",['Takeout'],Kirkland
Bella Balducci’s Mediterranean Cuisine,4.5,224,$$,,"['Mediterranean', 'Greek']","['Delivery', 'Takeout']",Kirkland
Hibiscus Mediterranean & Egyptian Cuisine,4.5,52,$,,"['Egyptian', 'Mediterranean']","['Delivery', 'Takeout']",Kirkland
Little Grandma’s Kitchen,4.5,42,$$,,"['Breakfast & Brunch', 'Salad', 'Wraps']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Lynn’s Bistro,4.5,258,$$$,,"['French', 'American (New)']",['Takeout'],Kirkland
Little Brother,4,227,$$,,"['American (New)', 'Tacos']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Guest House,4,226,$$,,"['American (Traditional)', 'Pizza', 'Cocktail Bars']","['Outdoor dining', 'Takeout']",Kirkland
Cafe Juanita,4.5,501,$$$$,,['Italian'],['Takeout'],Kirkland
Santorini Greek Grill,4.5,511,$,,['Greek'],['Outdoor dining'],Kirkland
Reunion Malaysian Cafe + Kitchen,4,204,$$,,"['Malaysian', 'Desserts']","['Delivery', 'Takeout']",Kirkland
Soi - Kirkland,4,21,n/a,,"['Thai', 'Cocktail Bars', 'Tapas/Small Plates']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Cafe Veloce,4,393,$$,,"['Italian', 'Pizza', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Izumi,4,747,$$,,"['Sushi Bars', 'Japanese']","['Delivery', 'Takeout']",Kirkland
Heritage Restaurant|Bar,4,314,$$,,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Hello Banh Mi,4.5,46,n/a,,"['Vietnamese', 'Sandwiches', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
BiBi,4.5,99,$$,,"['Mediterranean', 'Caterers', 'Persian/Iranian']","['Delivery', 'Takeout']",Kirkland
Hollywood Tavern,4,662,$$,,"['Bars', 'American (Traditional)']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Zeitoon Grill House,4,221,$$,,"['Persian/Iranian', 'Middle Eastern', 'Kebab']","['Delivery', 'Takeout']",Kirkland
Nick’s Grill,4.5,303,$,,"['Tex-Mex', 'Sandwiches']","['Delivery', 'Takeout']",Kirkland
Hearth Restaurant,3.5,93,$$,,"['American (New)', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Ristorante Paradiso,4,278,$$,,['Italian'],"['Delivery', 'Takeout']",Kirkland
Pizzaiolo Woodfired Pizza,4.5,294,$$,,['Pizza'],"['Delivery', 'Takeout']",Kirkland
BiBi,4.5,99,$$,,"['Mediterranean', 'Caterers', 'Persian/Iranian']","['Delivery', 'Takeout']",Kirkland
Vinason Pho Kitchen,4.5,44,$$,,"['Vietnamese', 'Macarons', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Rusty Pelican Cafe,4.5,32,$$,,['Breakfast & Brunch'],"['Opened 3 months ago', 'Outdoor dining', 'Takeout']",Kirkland
Due’ Cucina Italiana - Roosevelt,4,5,n/a,Roosevelt,"['Italian', 'Pasta Shops']",['Opened 4 weeks ago'],Kirkland
Smoke & Shine,3.5,167,$$,,"['Barbeque', 'Whiskey Bars', 'Smokehouse']",[],Kirkland
Rush In Dumplings,4,21,n/a,,['Russian'],"['Delivery', 'Takeout']",Kirkland
Ta Joia,5,123,$$,,"['Asian Fusion', 'Korean']","['Outdoor dining', 'Takeout']",Kirkland
Katsu Ramen,4,69,n/a,,['Ramen'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Jasmine Kitchen,4.5,214,$$,,"['Mediterranean', 'Halal', 'Salad']","['Delivery', 'Takeout']",Kirkland
The Bine Beer & Food,4.5,311,$$,,"['Beer Bar', 'Tapas/Small Plates', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Woodblock,4,761,$$,,"['Cocktail Bars', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Santa Fe Mexican Grill & Cantina - Lake Street,4.5,15,n/a,,"['Mexican', 'Bars']",[],Kirkland
The Stone House,4.5,448,$$$,,['American (New)'],"['Outdoor dining', 'Takeout']",Kirkland
The Lounge at DeLille Cellars,4.5,38,$$,,"['Wine Bars', 'Restaurants']","['Proof of vaccination required', 'Opened 3 months ago', 'Delivery', 'Takeout']",Kirkland
Lifted Taco,4.5,75,n/a,,['Tacos'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Mediterranean Kitchen,4,529,$$,,"['Mediterranean', 'Lebanese']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Rocky’s Empanadas,4.5,254,$,,"['Argentine', 'Empanadas']","['Delivery', 'Takeout']",Kirkland
The Slip,3.5,36,$$,,"['Bars', 'Burgers']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Dough Zone,n/a,n/a,n/a,,"['Shanghainese', 'Dim Sum', 'Noodles']",[],Kirkland
Mediterranean Kitchen,4,529,$$,,"['Mediterranean', 'Lebanese']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Bistro at Hollywood Schoolhouse,4,164,$$,,"['American (New)', 'Bars', 'Burgers']","['Outdoor dining', 'Takeout']",Kirkland
Niku Niku Japanese Barbecue,4.5,43,n/a,Haller Lake,"['Barbeque', 'Izakaya']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Spicy Talk Bistro,4,173,$$,,['Szechuan'],['Takeout'],Kirkland
Lounge by Topgolf,4,43,n/a,,"['Golf', 'American (New)', 'Lounges']","['Outdoor dining', 'Delivery']",Kirkland
Thai Wisdom Bistro,4.5,139,$$,,"['Thai', 'Noodles']","['Delivery', 'Takeout']",Kirkland
Purple Cafe and Wine Bar,4,763,$$,,"['American (New)', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Stack 571 Burger & Whiskey Bar,4,342,$$,,"['Burgers', 'Whiskey Bars', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Market,4.5,398,$$,,['Seafood'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Eight Row,4.5,112,$$$,Greenlake,"['American (New)', 'Beer Bar']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Cottage,4,303,$$,,"['Cocktail Bars', 'American (New)', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Ironsteak,4,100,$$,,"['Steakhouses', 'Teppanyaki']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Calypso Edmonds,4.5,145,$$,,['Caribbean'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Nine Way 玖味,4.5,136,$$,,"['Szechuan', 'Hot Pot', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Market,4.5,398,$$,,['Seafood'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Shake Shack,3.5,256,$$,,"['American (Traditional)', 'Fast Food', 'Burgers']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Antojitos Toxicos,5,9,n/a,,"['Mexican', 'Juice Bars & Smoothies']",['Opened 2 months ago'],Kirkland
Carillon Kitchen,3.5,54,$$,,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Oto Sushi,4,500,$$,,"['Japanese', 'Sushi Bars']","['Delivery', 'Takeout']",Kirkland
Kiwami Sushi Bar & Sake House,4,242,$$,,"['Sushi Bars', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Sawyer,4.5,402,n/a,Ballard,['American (New)'],"['Outdoor dining', 'Takeout']",Kirkland
So Tasty,4.5,117,$$,,"['Noodles', 'Chicken Wings', 'Cantonese']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Just Poké,4,289,$$,,"['Poke', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Dough Zone - Redmond,4,507,$$,,"['Dim Sum', 'Shanghainese', 'Noodles']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Alta Healthy Cafe,4,310,$$,,['Chinese'],"['Delivery', 'Takeout']",Kirkland
Panda Dim Sum,4.5,49,n/a,Redmond,"['Food Trucks', 'Dim Sum']",[],Kirkland
Parish Northwest,4.5,64,n/a,Ballard,"['Southern', 'Cajun/Creole', 'Pop-Up Restaurants']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Kizuki Ramen & Izakaya,5,1,n/a,,['Ramen'],[],Kirkland
Aceituno’s Mexican Food,4,128,$,,['Mexican'],['Takeout'],Kirkland
How to Cook a Wolf,4,38,n/a,Madison Park,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Plantiful Superfoods,4,37,$$,,"['Vegan', 'Vegetarian', 'Acai Bowls']","['Delivery', 'Takeout']",Kirkland
Stone Korean Restaurant,4,747,$$,,"['Korean', 'Asian Fusion']","['Delivery', 'Takeout']",Kirkland
151 Days,4.5,36,$$,,"['Chinese', 'Soup', 'Noodles']","['Waitlist opens at 5:00 pm', 'Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Musashi’s,4,53,$$,,"['Japanese', 'Sushi Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Karachi Cowboys,4.5,18,n/a,Capitol Hill,"['Pakistani', 'Indian', 'Beer, Wine & Spirits']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Hanok,4.5,115,$$,Madison Park,"['Korean', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Butcher Shop Cafe,4,89,$$,,"['Meat Shops', 'Cafes', 'Butcher']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
COMMUNION Restaurant and Bar,4.5,77,n/a,Central District,"['Soul Food', 'Soup', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Made In Taiwan,4,9,$,,"['Food Trucks', 'Taiwanese']",[],Kirkland
Kirkland Sushi,4,52,n/a,,"['Sushi Bars', 'Japanese', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Hanok,4.5,115,$$,Madison Park,"['Korean', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Kirkland Sushi,4,52,n/a,,"['Sushi Bars', 'Japanese', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Ishoni Yakiniku,4.5,59,n/a,Capitol Hill,"['Barbeque', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Kathakali,4,421,$$,,"['Indian', 'Seafood']","['Delivery', 'Takeout']",Kirkland
Musashi Cafe Yeti Bento,4.5,208,$$,,['Korean'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Lime,4,72,$$,,"['Sports Bars', 'American (Traditional)']",['Takeout'],Kirkland
Shawarmaniac,4,512,$,,"['Lebanese', 'Falafel', 'Halal']","['Delivery', 'Takeout']",Kirkland
The Commons,3.5,892,$$,,"['Comfort Food', 'American (New)', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Herbfarm,4,332,$$$$,,['Modern European'],[],Kirkland
Shaburina,4,301,$$$,,"['Buffets', 'Hot Pot', 'Japanese']","['Waitlist opens at 5:00 pm', 'Delivery', 'Takeout']",Kirkland
The Commons,3.5,892,$$,,"['Comfort Food', 'American (New)', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The Herbfarm,4,332,$$$$,,['Modern European'],[],Kirkland
Shaburina,4,301,$$$,,"['Buffets', 'Hot Pot', 'Japanese']","['Waitlist opens at 5:00 pm', 'Delivery', 'Takeout']",Kirkland
Anthony’s HomePort - Kirkland,3.5,404,$$$,,['Seafood'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Taqueria Talpense,4.5,21,n/a,,['Mexican'],"['Outdoor dining', 'Takeout']",Kirkland
Santa Fe Mexican Grill & Cantina- Totem Lake,4,385,$$,,['Mexican'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Brileys BBQ & Grill,4.5,694,$$,,"['Barbeque', 'American (Traditional)']","['Outdoor dining', 'Takeout']",Kirkland
The Bison on Main,4.5,29,n/a,,"['Pubs', 'Burgers', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Afghan Choopan Restaurant,4,55,$$,,['Afghan'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Botteco Brazil,4.5,23,n/a,,"['Steakhouses', 'Brazilian', 'Chicken Shop']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Woodinville Cafe,4,485,$$,,"['Breakfast & Brunch', 'American (Traditional)', 'Diners']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Pono Plates,4.5,10,n/a,,"['Food Trucks', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Afghan Choopan Restaurant,4,55,$$,,['Afghan'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Facing East,4,1921,$$,,"['Chinese', 'Taiwanese']","['Delivery', 'Takeout']",Kirkland
A Bit of Aloha,3,16,n/a,,"['Hawaiian', 'Food Trucks']",[],Kirkland
Joe’s Burgers,3.5,77,n/a,,"['Fast Food', 'Burgers', 'Hot Dogs']","['Delivery', 'Takeout']",Kirkland
Great China Restaurant,4,263,$$,,"['Chinese', 'Seafood', 'Bars']","['Delivery', 'Takeout']",Kirkland
Shabu Shabu Kyoto Japanese Restaurant,4,206,$$,,"['Japanese', 'Hot Pot', 'Do-It-Yourself Food', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Crab Season,4.5,79,n/a,,"['Seafood', 'Asian Fusion']","['Delivery', 'Takeout']",Kirkland
Shibu Ramen,3.5,153,$$,,"['Ramen', 'Wine Bars', 'Noodles']","['Delivery', 'Takeout']",Kirkland
Super Six,4,723,$$,Columbia City,"['Asian Fusion', 'Hawaiian', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Cock & Bull,3.5,45,$$,,"['Sports Bars', 'Pubs', 'American (Traditional)']",['Outdoor dining'],Kirkland
Castilla Restaurant and Tapas Bar,4,221,$$,,"['Spanish', 'Tapas Bars', 'Cocktail Bars']","['Delivery', 'Takeout']",Kirkland
Mojito,4.5,850,$$,Mapleleaf,"['Cuban', 'Colombian', 'Venezuelan']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
The PicNic Table,4.5,111,$$,,"['Sandwiches', 'Mediterranean']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Yang’s Dumpling House,3.5,247,$$,,['Dim Sum'],"['Delivery', 'Takeout']",Kirkland
Mama’s Kitchen,4,302,$$,,"['Korean', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Musang Seattle,4.5,158,$$,Beacon Hill,['Filipino'],"['Outdoor dining', 'Delivery']",Kirkland
Akane,4,267,$$,,"['Ramen', 'Noodles']","['Delivery', 'Takeout']",Kirkland
The Fry Guys,4.5,39,n/a,Industrial District,"['Southern', 'Cheesesteaks', 'Fast Food']","['Delivery', 'Takeout']",Kirkland
Aria Food & Bakery,4,93,$$,,"['Bakeries', 'Persian/Iranian', 'Pizza']",['Takeout'],Kirkland
Isarn Thai Soul Kitchen,4.5,89,$$,Ravenna,"['Noodles', 'Thai', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Tropea Ristorante Italiano,4,341,$$,,"['Italian', 'Pizza']",['Takeout'],Kirkland
Tipsy Cow Burger Bar - Redmond,4,1304,$$,,"['Burgers', 'Bars']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Dakshin South Indian Bistro,4,349,$$,,['Indian'],['Takeout'],Kirkland
Chef Shalimar,4.5,4,n/a,,['Burgers'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Alanya Cafe,4.5,233,$,,"['Turkish', 'Cafes', 'Sandwiches']","['Delivery', 'Takeout']",Kirkland
Xiao Chi Jie,4,291,$$,,"['Shanghainese', 'Dim Sum']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Biscuit Bitch,4,4047,$,Downtown,"['Breakfast & Brunch', 'Coffee & Tea', 'Southern']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Sip Thai Bistro,4.5,479,$$,,"['Thai', 'Noodles', 'Chicken Wings']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Bowl Gogi,4.5,69,$$,,['Korean'],"['Delivery', 'Takeout']",Kirkland
Pogacha Restaurant & Bar,4.5,28,n/a,,"['Italian', 'Breakfast & Brunch', 'Wine Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Cafe Organique,4,55,$$,,"['Organic Stores', 'Juice Bars & Smoothies', 'Gluten-Free']",['Delivery'],Kirkland
Volterra,3.5,304,$$$,,['Italian'],[],Kirkland
Gyu-Kaku Japanese BBQ,4,613,$$$,,"['Barbeque', 'Japanese', 'Asian Fusion']","['Delivery', 'Takeout']",Kirkland
Woodinville Cut Shop,3.5,222,$$,,"['American (Traditional)', 'Lounges']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Paseo,4.5,5215,$$,Fremont,"['Caribbean', 'Cuban', 'Sandwiches']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Mongolian Grill,4,148,$$,,['Mongolian'],['Takeout'],Kirkland
Pink Salt Restaurant,4.5,77,n/a,Magnolia,"['Peruvian', 'Bars', 'Desserts']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Taqueria Los Chilangos - Kirkland,4.5,19,n/a,,"['Food Trucks', 'Tacos']","['Delivery', 'Takeout']",Kirkland
Woodinville Cut Shop,3.5,222,$$,,"['American (Traditional)', 'Lounges']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Mongolian Grill,4,148,$$,,['Mongolian'],['Takeout'],Kirkland
Tian Tian Noodles,4,105,$,,"['Noodles', 'Chinese']","['Delivery', 'Takeout']",Kirkland
Damn the Weather,4,468,$$,Pioneer Square,"['Cocktail Bars', 'American (New)']","['Proof of vaccination required', 'Delivery', 'Takeout']",Kirkland
Ten Seconds Yunnan Rice Noodle,4.5,82,$$,,"['Bubble Tea', 'Noodles', 'Chinese']","['Delivery', 'Takeout']",Kirkland
MOEIDA ASIAN BISTRO,4,212,$$,,['Asian Fusion'],"['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Tian Fu,4,4,n/a,,['Chinese'],"['Opened 2 months ago', 'Delivery', 'Takeout']",Kirkland
Marination Ma Kai,4,1102,$$,,"['Korean', 'Hawaiian', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Tres Hermanos Family Mexican Restaurant,4,204,$$,,['Mexican'],['Takeout'],Kirkland
Itto’s Tapas,4.5,331,$$$,Junction,"['Moroccan', 'Tapas Bars', 'Spanish']","['Delivery', 'Takeout']",Kirkland
Homegrown,4,256,$$,,"['Salad', 'Sandwiches', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Itto’s Tapas,4.5,331,$$$,Junction,"['Moroccan', 'Tapas Bars', 'Spanish']","['Delivery', 'Takeout']",Kirkland
Tipsy Cow Burger Bar - Woodinville,4,562,$$,,"['Burgers', 'Beer Bar']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Llama Fusion,4,17,n/a,Kirkland,"['Food Trucks', 'Mexican']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
Pho Ready,4,37,n/a,,"['Vietnamese', 'Sandwiches']","['Delivery', 'Takeout']",Kirkland
Mioposto,4,260,$$,Ravenna,"['Italian', 'Pizza', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Kirkland
